date,destination_ip,number_of_tickets
2026-03-23 10:16:38,172.22.0.20,10
2026-03-23 10:16:40,172.22.0.20,11
2026-03-23 10:16:42,172.22.0.20,10
2026-03-23 10:16:45,172.22.0.20,10
2026-03-23 10:16:47,172.22.0.20,12
2026-03-23 10:16:50,172.22.0.20,12
2026-03-23 10:16:52,172.22.0.20,9
2026-03-23 10:16:54,172.22.0.20,10
2026-03-23 10:16:56,172.22.0.20,12
2026-03-23 10:16:58,172.22.0.20,9
2026-03-23 10:17:00,172.22.0.20,10
2026-03-23 10:17:02,172.22.0.20,10
2026-03-23 10:17:04,172.22.0.20,10
2026-03-23 10:17:06,172.22.0.20,8
2026-03-23 10:17:08,172.22.0.20,10
2026-03-23 10:17:10,172.22.0.20,12
2026-03-23 10:17:12,172.22.0.20,10
2026-03-23 10:17:14,172.22.0.20,9
2026-03-23 10:17:16,172.22.0.20,9
2026-03-23 10:17:18,172.22.0.20,11
2026-03-23 10:17:21,172.22.0.20,11
2026-03-23 10:17:23,172.22.0.20,11
2026-03-23 10:17:25,172.22.0.20,11
2026-03-23 10:17:27,172.22.0.20,12
2026-03-23 10:17:30,172.22.0.20,10
2026-03-23 10:17:32,172.22.0.20,11
2026-03-23 10:17:34,172.22.0.20,9
2026-03-23 10:17:35,172.22.0.20,7
2026-03-23 10:17:37,172.22.0.20,9
2026-03-23 10:17:39,172.22.0.20,11
2026-03-23 10:17:41,172.22.0.20,11
2026-03-23 10:17:43,172.22.0.20,10
2026-03-23 10:17:46,172.22.0.20,13
2026-03-23 10:17:48,172.22.0.20,9
2026-03-23 10:17:50,172.22.0.20,11
2026-03-23 10:17:52,172.22.0.20,8
2026-03-23 10:17:54,172.22.0.20,11
2026-03-23 10:17:56,172.22.0.20,9
2026-03-23 10:17:58,172.22.0.20,11
2026-03-23 10:18:01,172.22.0.20,11
2026-03-23 10:18:03,172.22.0.20,10
2026-03-23 10:18:05,172.22.0.20,12
2026-03-23 10:18:07,172.22.0.20,10
2026-03-23 10:18:09,172.22.0.20,9
2026-03-23 10:18:11,172.22.0.20,12
2026-03-23 10:18:13,172.22.0.20,10
2026-03-23 10:18:15,172.22.0.20,8
2026-03-23 10:18:17,172.22.0.20,9
2026-03-23 10:18:19,172.22.0.20,10
2026-03-23 10:18:21,172.22.0.20,11
2026-03-23 10:18:24,172.22.0.20,12
2026-03-23 10:18:26,172.22.0.20,9
2026-03-23 10:18:28,172.22.0.20,12
2026-03-23 10:18:30,172.22.0.20,8
2026-03-23 10:18:31,172.22.0.20,8
2026-03-23 10:18:34,172.22.0.20,11
2026-03-23 10:18:36,172.22.0.20,12
2026-03-23 10:18:38,172.22.0.20,10
2026-03-23 10:18:40,172.22.0.20,8
2026-03-23 10:18:42,172.22.0.20,11
2026-03-23 10:18:44,172.22.0.20,9
2026-03-23 10:18:46,172.22.0.20,11
2026-03-23 10:18:48,172.22.0.20,10
2026-03-23 10:18:51,172.22.0.20,12
2026-03-23 10:18:53,172.22.0.20,13
2026-03-23 10:18:55,172.22.0.20,10
2026-03-23 10:18:57,172.22.0.20,10
2026-03-23 10:18:59,172.22.0.20,7
2026-03-23 10:19:01,172.22.0.20,10
2026-03-23 10:19:03,172.22.0.20,12
2026-03-23 10:19:06,172.22.0.20,12
2026-03-23 10:19:08,172.22.0.20,10
2026-03-23 10:19:10,172.22.0.20,11
2026-03-23 10:19:12,172.22.0.20,11
2026-03-23 10:19:15,172.22.0.20,13
2026-03-23 10:19:18,172.22.0.20,12
2026-03-23 10:19:20,172.22.0.20,13
2026-03-23 10:19:22,172.22.0.20,11
2026-03-23 10:19:25,172.22.0.20,12
2026-03-23 10:19:27,172.22.0.20,11
2026-03-23 10:19:30,172.22.0.20,12
2026-03-23 10:19:32,172.22.0.20,12
2026-03-23 10:19:34,172.22.0.20,11
2026-03-23 10:19:36,172.22.0.20,9
2026-03-23 10:19:39,172.22.0.20,13
2026-03-23 10:19:41,172.22.0.20,10
2026-03-23 10:19:43,172.22.0.20,12
2026-03-23 10:19:46,172.22.0.20,13
2026-03-23 10:19:48,172.22.0.20,12
2026-03-23 10:19:51,172.22.0.20,14
2026-03-23 10:19:54,172.22.0.20,12
2026-03-23 10:19:56,172.22.0.20,9
2026-03-23 10:19:58,172.22.0.20,12
2026-03-23 10:20:01,172.22.0.20,12
2026-03-23 10:20:02,172.22.0.20,9
2026-03-23 10:20:05,172.22.0.20,11
2026-03-23 10:20:07,172.22.0.20,12
2026-03-23 10:20:10,172.22.0.20,12
2026-03-23 10:20:12,172.22.0.20,10
2026-03-23 10:20:14,172.22.0.20,12
2026-03-23 10:20:16,172.22.0.20,9
2026-03-23 10:20:18,172.22.0.20,11
2026-03-23 10:20:21,172.22.0.20,13
2026-03-23 10:20:23,172.22.0.20,12
