date,timestamp,id,seq,rtt,iat,length,seq_difference,session_start,has_reply
2026-03-23,10:36:02.917466,960,9,2.9e-05,0.200091,64,1,0,1
2026-03-23,10:36:03.117592,960,10,3e-05,0.200126,64,1,0,1
2026-03-23,10:36:03.317679,960,11,3e-05,0.200087,64,1,0,1
2026-03-23,10:36:03.669838,961,0,3.6e-05,0.352159,64,1,1,1
2026-03-23,10:36:03.869925,961,1,3e-05,0.200087,64,1,0,1
2026-03-23,10:36:04.070083,961,2,3e-05,0.200158,64,1,0,1
2026-03-23,10:36:04.270196,961,3,3.1e-05,0.200113,64,1,0,1
2026-03-23,10:36:04.470340,961,4,3e-05,0.200144,64,1,0,1
2026-03-23,10:36:04.670432,961,5,3e-05,0.200092,64,1,0,1
2026-03-23,10:36:04.870534,961,6,3.1e-05,0.200102,64,1,0,1
2026-03-23,10:36:05.070634,961,7,3.2e-05,0.2001,64,1,0,1
2026-03-23,10:36:05.270734,961,8,3.2e-05,0.2001,64,1,0,1
2026-03-23,10:36:05.470875,961,9,3.2e-05,0.200141,64,1,0,1
2026-03-23,10:36:05.671021,961,10,3.1e-05,0.200146,64,1,0,1
2026-03-23,10:36:05.871112,961,11,3e-05,0.200091,64,1,0,1
2026-03-23,10:36:06.223306,962,0,3.6e-05,0.352194,64,1,1,1
2026-03-23,10:36:06.423448,962,1,3.1e-05,0.200142,64,1,0,1
2026-03-23,10:36:06.623596,962,2,3e-05,0.200148,64,1,0,1
2026-03-23,10:36:06.823692,962,3,3e-05,0.200096,64,1,0,1
2026-03-23,10:36:07.023830,962,4,3.1e-05,0.200138,64,1,0,1
2026-03-23,10:36:07.223961,962,5,3e-05,0.200131,64,1,0,1
2026-03-23,10:36:07.424080,962,6,3e-05,0.200119,64,1,0,1
2026-03-23,10:36:07.624205,962,7,3e-05,0.200125,64,1,0,1
2026-03-23,10:36:07.824343,962,8,3e-05,0.200138,64,1,0,1
2026-03-23,10:36:08.024461,962,9,3e-05,0.200118,64,1,0,1
2026-03-23,10:36:08.224570,962,10,3e-05,0.200109,64,1,0,1
2026-03-23,10:36:08.424667,962,11,2.9e-05,0.200097,64,1,0,1
2026-03-23,10:36:08.624743,962,12,3e-05,0.200076,64,1,0,1
2026-03-23,10:36:08.976768,963,0,3.6e-05,0.352025,64,1,1,1
2026-03-23,10:36:09.176905,963,1,3.1e-05,0.200137,64,1,0,1
2026-03-23,10:36:09.377067,963,2,3.1e-05,0.200162,64,1,0,1
2026-03-23,10:36:09.577189,963,3,3.1e-05,0.200122,64,1,0,1
2026-03-23,10:36:09.777318,963,4,3.2e-05,0.200129,64,1,0,1
2026-03-23,10:36:09.977415,963,5,3e-05,0.200097,64,1,0,1
2026-03-23,10:36:10.177497,963,6,3e-05,0.200082,64,1,0,1
2026-03-23,10:36:10.377610,963,7,3.1e-05,0.200113,64,1,0,1
2026-03-23,10:36:10.577770,963,8,3.9e-05,0.20016,64,1,0,1
2026-03-23,10:36:10.777871,963,9,3.1e-05,0.200101,64,1,0,1
2026-03-23,10:36:10.978000,963,10,3e-05,0.200129,64,1,0,1
2026-03-23,10:36:11.178139,963,11,3e-05,0.200139,64,1,0,1
2026-03-23,10:36:11.378374,963,12,3e-05,0.200235,64,1,0,1
2026-03-23,10:36:11.730424,964,0,3.7e-05,0.35205,64,1,1,1
2026-03-23,10:36:11.930542,964,1,2.6e-05,0.200118,64,1,0,1
2026-03-23,10:36:12.130678,964,2,3e-05,0.200136,64,1,0,1
2026-03-23,10:36:12.230768,964,3,1.8e-05,0.10009,64,1,0,1
2026-03-23,10:36:12.430903,964,4,1.5e-05,0.200135,64,1,0,1
2026-03-23,10:36:12.631099,964,5,1.7e-05,0.200196,64,1,0,1
2026-03-23,10:36:12.831326,964,6,1.9e-05,0.200227,64,1,0,1
2026-03-23,10:36:13.031553,964,7,1.6e-05,0.200227,64,1,0,1
2026-03-23,10:36:13.231705,964,8,1.6e-05,0.200152,64,1,0,1
2026-03-23,10:36:13.431897,964,9,1.6e-05,0.200192,64,1,0,1
2026-03-23,10:36:13.632023,964,10,1.7e-05,0.200126,64,1,0,1
2026-03-23,10:36:13.884019,965,0,1.9e-05,0.251996,64,1,1,1
2026-03-23,10:36:14.084195,965,1,1.6e-05,0.200176,64,1,0,1
2026-03-23,10:36:14.284382,965,2,1.6e-05,0.200187,64,1,0,1
2026-03-23,10:36:14.484560,965,3,1.7e-05,0.200178,64,1,0,1
2026-03-23,10:36:14.684733,965,4,1.6e-05,0.200173,64,1,0,1
2026-03-23,10:36:14.884894,965,5,1.7e-05,0.200161,64,1,0,1
2026-03-23,10:36:15.085053,965,6,1.7e-05,0.200159,64,1,0,1
2026-03-23,10:36:15.285210,965,7,1.5e-05,0.200157,64,1,0,1
2026-03-23,10:36:15.485393,965,8,1.6e-05,0.200183,64,1,0,1
2026-03-23,10:36:15.685566,965,9,1.6e-05,0.200173,64,1,0,1
2026-03-23,10:36:15.885718,965,10,1.7e-05,0.200152,64,1,0,1
2026-03-23,10:36:16.137882,966,0,1.8e-05,0.252164,64,1,1,1
2026-03-23,10:36:16.338062,966,1,1.6e-05,0.20018,64,1,0,1
2026-03-23,10:36:16.538220,966,2,4.2e-05,0.200158,64,1,0,1
2026-03-23,10:36:16.738423,966,3,1.6e-05,0.200203,64,1,0,1
2026-03-23,10:36:16.938553,966,4,1.6e-05,0.20013,64,1,0,1
2026-03-23,10:36:17.138679,966,5,1.7e-05,0.200126,64,1,0,1
2026-03-23,10:36:17.338807,966,6,1.6e-05,0.200128,64,1,0,1
2026-03-23,10:36:17.538972,966,7,1.7e-05,0.200165,64,1,0,1
2026-03-23,10:36:17.739151,966,8,1.6e-05,0.200179,64,1,0,1
2026-03-23,10:36:17.939346,966,9,1.7e-05,0.200195,64,1,0,1
2026-03-23,10:36:18.139509,966,10,1.7e-05,0.200163,64,1,0,1
2026-03-23,10:36:18.391480,967,0,1.8e-05,0.251971,64,1,1,1
2026-03-23,10:36:18.591661,967,1,1.6e-05,0.200181,64,1,0,1
2026-03-23,10:36:18.791808,967,2,1.6e-05,0.200147,64,1,0,1
2026-03-23,10:36:18.991963,967,3,1.8e-05,0.200155,64,1,0,1
2026-03-23,10:36:19.192118,967,4,1.6e-05,0.200155,64,1,0,1
2026-03-23,10:36:19.392358,967,5,1.6e-05,0.20024,64,1,0,1
2026-03-23,10:36:19.592521,967,6,1.6e-05,0.200163,64,1,0,1
2026-03-23,10:36:19.792669,967,7,1.6e-05,0.200148,64,1,0,1
2026-03-23,10:36:19.992831,967,8,1.6e-05,0.200162,64,1,0,1
2026-03-23,10:36:20.192968,967,9,1.6e-05,0.200137,64,1,0,1
2026-03-23,10:36:20.393136,967,10,1.6e-05,0.200168,64,1,0,1
2026-03-23,10:36:20.645203,968,0,1.9e-05,0.252067,64,1,1,1
2026-03-23,10:36:20.845411,968,1,1.7e-05,0.200208,64,1,0,1
2026-03-23,10:36:21.045634,968,2,1.6e-05,0.200223,64,1,0,1
2026-03-23,10:36:21.245809,968,3,1.7e-05,0.200175,64,1,0,1
2026-03-23,10:36:21.445987,968,4,1.7e-05,0.200178,64,1,0,1
2026-03-23,10:36:21.646163,968,5,1.6e-05,0.200176,64,1,0,1
2026-03-23,10:36:21.846357,968,6,1.6e-05,0.200194,64,1,0,1
2026-03-23,10:36:22.046507,968,7,1.6e-05,0.20015,64,1,0,1
2026-03-23,10:36:22.246647,968,8,1.6e-05,0.20014,64,1,0,1
2026-03-23,10:36:22.446786,968,9,1.6e-05,0.200139,64,1,0,1
2026-03-23,10:36:22.646944,968,10,1.6e-05,0.200158,64,1,0,1
2026-03-23,10:36:22.847122,968,11,1.6e-05,0.200178,64,1,0,1
2026-03-23,10:36:23.099124,969,0,1.8e-05,0.252002,64,1,1,1
2026-03-23,10:36:23.299342,969,1,1.7e-05,0.200218,64,1,0,1
2026-03-23,10:36:23.499504,969,2,1.6e-05,0.200162,64,1,0,1
2026-03-23,10:36:23.699655,969,3,1.6e-05,0.200151,64,1,0,1
2026-03-23,10:36:23.899811,969,4,1.6e-05,0.200156,64,1,0,1
2026-03-23,10:36:24.099940,969,5,1.6e-05,0.200129,64,1,0,1
2026-03-23,10:36:24.300088,969,6,1.6e-05,0.200148,64,1,0,1
2026-03-23,10:36:24.500300,969,7,1.7e-05,0.200212,64,1,0,1
2026-03-23,10:36:24.700469,969,8,1.6e-05,0.200169,64,1,0,1
2026-03-23,10:36:24.900619,969,9,1.7e-05,0.20015,64,1,0,1
2026-03-23,10:36:25.100759,969,10,1.7e-05,0.20014,64,1,0,1
2026-03-23,10:36:25.300925,969,11,1.6e-05,0.200166,64,1,0,1
2026-03-23,10:36:25.552959,970,0,2.4e-05,0.252034,64,1,1,1
2026-03-23,10:36:25.753152,970,1,1.6e-05,0.200193,64,1,0,1
2026-03-23,10:36:25.953351,970,2,1.7e-05,0.200199,64,1,0,1
2026-03-23,10:36:26.153523,970,3,1.6e-05,0.200172,64,1,0,1
2026-03-23,10:36:26.353701,970,4,1.6e-05,0.200178,64,1,0,1
2026-03-23,10:36:26.553882,970,5,1.7e-05,0.200181,64,1,0,1
2026-03-23,10:36:26.754063,970,6,1.6e-05,0.200181,64,1,0,1
2026-03-23,10:36:26.954278,970,7,1.8e-05,0.200215,64,1,0,1
2026-03-23,10:36:27.154457,970,8,1.6e-05,0.200179,64,1,0,1
2026-03-23,10:36:27.406539,971,0,1.8e-05,0.252082,64,1,1,1
2026-03-23,10:36:27.606714,971,1,1.6e-05,0.200175,64,1,0,1
2026-03-23,10:36:27.806888,971,2,1.6e-05,0.200174,64,1,0,1
2026-03-23,10:36:28.007054,971,3,1.6e-05,0.200166,64,1,0,1
2026-03-23,10:36:28.207215,971,4,1.6e-05,0.200161,64,1,0,1
2026-03-23,10:36:28.407419,971,5,1.6e-05,0.200204,64,1,0,1
2026-03-23,10:36:28.607582,971,6,1.7e-05,0.200163,64,1,0,1
2026-03-23,10:36:28.807743,971,7,1.6e-05,0.200161,64,1,0,1
2026-03-23,10:36:29.007880,971,8,1.6e-05,0.200137,64,1,0,1
2026-03-23,10:36:29.208021,971,9,1.6e-05,0.200141,64,1,0,1
2026-03-23,10:36:29.408200,971,10,1.6e-05,0.200179,64,1,0,1
2026-03-23,10:36:29.608445,971,11,1.7e-05,0.200245,64,1,0,1
2026-03-23,10:36:29.808603,971,12,1.6e-05,0.200158,64,1,0,1
